"epidermis__standard_1h"	"epidermis__140mM_1h"	"epidermis__140mM_3h"	"epidermis__140mM_8h"	"epidermis__140mM_20h"	"epidermis__140mM_32h"	"epidermis__140mM_48h"	"cortex__standard_1h"	"cortex__140mM_1h"	"cortex__140mM_3h"	"cortex__140mM_8h"	"cortex__140mM_20h"	"cortex__140mM_32h"	"cortex__140mM_48h"	"endodermis__standard_1h"	"endodermis__140mM_1h"	"endodermis__140mM_3h"	"endodermis__140mM_8h"	"endodermis__140mM_20h"	"endodermis__140mM_32h"	"endodermis__140mM_48h"	"stele__standard_1h"	"stele__140mM_1h"	"stele__140mM_3h"	"stele__140mM_8h"	"stele__140mM_20h"	"stele__140mM_32h"	"stele__140mM_48h"
"LTP4"	3.758502	2.694674	1.744266	2.653559	3.332001	4.186081	2.344072	2.070884	3.693249	3.697903	7.247933	5.480125	3.504094	1.865648	3.682996	3.359357	4.259773	3.492392	4.240131	3.070664	4.250376	4.170817	1.541034	2.219894	2.521664	1.91916	4.154429	2.058033
"CYP86..CYP86A1..HORST"	3.1653498	3.7233139	2.4965236	2.6652161	1.9301458	1.5410876	3.1944194	1.9695831	2.0687446	3.3187182	6.414667	3.7362656	2.4923517	2.6035834	2.7126528	2.2039643	3.2326614	6.254869	8.1977536	4.7779021	5.4098855	2.3418889	1.3241984	1.6952493	3.8382181	3.066341	2.4523527	0.9462676
"LAC16"	2.8723397	2.1514392	0.468099	2.3688772	2.0583122	2.0278724	1.6841116	4.5010573	2.01485	3.4033496	3.4823253	0.5775322	3.5495593	0.5313977	3.4348452	5.0992684	7.5108523	6.4612765	5.015897	3.4205854	1.5144736	5.9212805	2.4833052	3.3086663	3.3503107	0.6245944	3.8566286	2.7874067
"AtMYB36..MYB36"	6.873885	5.714229	5.482623	4.157767	4.313084	5.174228	3.194007	11.165548	11.185945	10.539341	9.542107	8.81646	8.067475	9.488403	12.523937	12.851059	12.083615	12.974787	12.105634	11.664795	11.449245	11.166125	10.498026	9.847713	10.243603	9.930361	9.03604	8.977304
"TET15"	2.827325	3.495342	5.649653	3.275523	3.699495	4.736964	2.414712	1.754488	5.811155	4.901107	6.311829	3.993583	4.253199	3.370361	4.206023	4.913554	2.929735	2.494511	2.277609	3.63935	2.983185	1.439327	5.828474	3.020569	3.900218	2.561628	2.354824	1.329059
"AtXTH13..XTH13"	9.098056	6.248562	3.948139	5.922984	6.500448	6.763892	6.608773	8.362184	4.479946	6.321566	7.227046	8.405376	7.330937	7.372877	7.714147	5.622038	4.529357	5.506098	6.551885	6.447383	2.869602	10.222268	6.166046	5.802625	7.525912	9.856375	8.660848	7.526624
"PFN3..PRF3"	2.872351	2.105711	2.182864	2.508227	1.823142	2.9608	4.599806	4.146552	4.172156	4.255941	5.025371	4.106833	5.061527	5.036259	4.177331	2.641458	3.315019	4.393849	5.941797	4.155152	4.202793	3.805852	5.702271	4.926056	5.463344	4.591954	5.319388	4.497498
"GAMT2"	3.955927	3.250179	4.118236	3.044995	2.672181	2.958736	2.632999	3.071301	3.927783	4.484373	4.842976	2.650053	3.457791	3.978014	5.583281	5.283929	4.611012	4.552524	4.210437	4.983946	3.902061	3.259425	4.226226	2.817831	4.331716	3.596836	4.452865	1.96974
"CRR21"	3.062881	2.877311	2.344234	2.757264	3.391119	4.451646	4.51744	1.919345	2.770587	1.546879	2.74381	4.260712	3.787306	4.139617	1.972691	1.993126	1.697536	3.51621	1.86963	2.256711	3.003514	1.695613	1.601288	1.476214	3.300669	3.483103	1.763045	2.675209
"AtIAMT1..IAMT1"	5.292926	4.605822	5.208619	3.951621	5.146562	4.314273	3.895225	11.244918	8.902817	9.941382	8.185445	7.911131	8.775894	8.762938	9.513208	7.740736	6.3891	5.765904	5.226734	5.535134	4.855301	8.481412	6.682025	5.504811	5.354456	4.302805	6.134083	5.665966
"THI1..THI4..TZ"	3.949357	3.500438	4.417605	4.046124	4.092075	5.282343	4.422394	7.667858	9.038749	9.265995	9.920843	8.396831	7.612408	7.806774	5.692061	4.422009	4.960678	5.236644	6.626783	4.691556	5.439792	5.799111	6.54858	5.89309	6.800581	5.984775	6.290892	7.553526
"LHCB3..LHCB3.1"	4.322389	2.74851	3.910937	3.436962	4.367682	3.882825	3.616126	9.680915	9.80401	9.982043	9.673783	9.262008	9.321836	9.126041	6.624826	4.102373	4.027972	7.139272	7.517694	5.693232	5.792999	7.049447	6.289678	4.230145	7.321006	6.895541	7.199051	7.677679
"AtMYB49..MYB49"	5.10057	4.265262	4.414983	2.987571	3.413715	3.671912	1.699823	5.798379	8.174453	6.108653	5.952761	5.757212	4.271491	5.427451	10.63234	10.306122	9.039942	8.374583	6.833552	6.288382	6.528167	7.034695	8.035111	7.133448	6.560613	5.394848	5.387578	5.334313
