"brain__day0"	"brain__day0"	"brain__day155"	"brain__day155"	"brain__day70"	"brain__day70"	"heart__day0"	"heart__day0"	"heart__day155"	"heart__day155"	"heart__day70"	"heart__day70"
"ENSGALG00000029033"	0	0	0	0	0	0	0	0	1	1	0	0
"ENSGALG00000029282"	10	10	9	9	17	17	1	1	16	16	23	23
"ENSGALG00000029331"	1	1	8	8	15	15	0	0	0	0	1	1
"ENSGALG00000029393"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSGALG00000029446"	28	28	30	30	34	34	85	85	60	60	84	84
"ENSGALG00000029617"	71	71	42	42	43	43	14	14	19	19	16	16
"ENSGALG00000029831"	436	436	439	439	105	105	132	132	203	203	306	306
"ENSGALG00000030025"	5	5	3	3	0	0	909	909	257	257	2248	2248
"ENSGALG00000030040"	161	161	153	153	213	213	212	212	193	193	222	222
"ENSGALG00000030160"	51	51	42	42	43	43	0	0	2	2	1	1
"ENSGALG00000030545"	96	96	54	54	48	48	0	0	0	0	0	0
"ENSGALG00000030571"	26	26	22	22	24	24	3	3	36	36	22	22
"ENSGALG00000030853"	100	100	75	75	86	86	11	11	14	14	28	28
"ENSGALG00000030917"	11	11	15	15	16	16	3	3	4	4	9	9
"ENSGALG00000030996"	1	1	5	5	4	4	82	82	31	31	79	79
"ENSGALG00000031076"	3	3	0	0	4	4	1	1	1	1	1	1
"ENSGALG00000031183"	3	3	0	0	1	1	5	5	4	4	5	5
"ENSGALG00000031360"	35	35	1	1	0	0	2	2	0	0	5	5
"ENSGALG00000031737"	0	0	3	3	0	0	1	1	0	0	5	5
"ENSGALG00000031826"	10	10	26	26	18	18	1982	1982	4436	4436	7298	7298
"ENSGALG00000031869"	12	12	22	22	8	8	13	13	51	51	18	18
"ENSGALG00000031916"	56	56	185	185	306	306	7	7	50	50	27	27
"ENSGALG00000031974"	24	24	1	1	147	147	0	0	0	0	0	0
"ENSGALG00000032220"	416	416	101	101	178	178	10415	10415	226	226	1594	1594
"ENSGALG00000032453"	3535	3535	56	56	331	331	2	2	0	0	0	0
"ENSGALG00000032526"	34	34	52	52	18	18	35	35	162	162	36	36
"ENSGALG00000032718"	1	1	0	0	0	0	0	0	1	1	0	0
"ENSGALG00000033304"	26	26	34	34	13	13	313	313	57	57	93	93
"ENSGALG00000033634"	2	2	1	1	1	1	0	0	0	0	2	2
"ENSGALG00000033638"	16	16	44	44	15	15	0	0	0	0	0	0
"ENSGALG00000033767"	20	20	7	7	19	19	40	40	20	20	10	10
"ENSGALG00000034197"	50	50	13	13	30	30	0	0	0	0	0	0
