"cell"	"cluster"
"289"	"C1.1772117.100.E06"	"clus2"
"290"	"C1.1772089.199.C09"	"clus3"
"291"	"C1.1772117.099.G09"	"clus4"
"292"	"C1.1772117.103.G02"	"clus2"
"293"	"C1.1772117.108.E07"	"clus2"
"294"	"C1.1772063.063.G10"	"clus3"
"295"	"C1.1772089.202.D11"	"clus7"
"296"	"C1.1772125.090.F11"	"clus5"
"297"	"C1.1772125.090.B06"	"clus5"
"298"	"C1.1772125.090.F08"	"clus5"
"299"	"C1.1772060.224.C04"	"clus3"
"300"	"C1.1772089.199.G11"	"clus3"
"301"	"C1.1772117.039.B11"	"clus5"
"302"	"C1.1772099.045.A07"	"clus9"
"303"	"C1.1772099.091.A10"	"clus6"
"304"	"C1.1772099.090.H12"	"clus6"
"305"	"C1.1772125.090.G11"	"clus5"
"306"	"C1.1772117.039.B02"	"clus5"
"307"	"C1.1772117.039.A06"	"clus5"
"308"	"C1.1772125.080.F07"	"clus5"
"309"	"C1.1772125.080.B04"	"clus5"
"310"	"C1.1772125.080.G02"	"clus5"
"311"	"C1.1772125.080.C11"	"clus5"
"312"	"C1.1772125.090.G06"	"clus5"
"313"	"C1.1772125.080.G10"	"clus5"
"314"	"C1.1772125.080.F11"	"clus5"
"315"	"C1.1772089.205.C06"	"clus3"
"316"	"C1.1772125.090.G05"	"clus5"
"317"	"C1.1772125.090.D01"	"clus5"
"318"	"C1.1772089.205.C11"	"clus3"
"319"	"C1.1772099.153.G02"	"clus2"
"320"	"C1.1772099.093.C01"	"clus4"
"321"	"C1.1772117.039.A10"	"clus5"
"322"	"C1.1772099.045.H07"	"clus9"
"323"	"C1.1772125.090.C06"	"clus5"
"324"	"C1.1772125.090.G04"	"clus5"
"325"	"C1.1772062.113.G01"	"clus3"
"326"	"C1.1772125.080.B11"	"clus5"
"327"	"C1.1772089.199.H10"	"clus3"
"328"	"C1.1772078.013.C07"	"clus7"
"329"	"C1.1772099.001.G09"	"clus3"
"330"	"C1.1772089.205.A09"	"clus4"
"331"	"C1.1772125.090.E05"	"clus5"
"332"	"C1.1772089.200.F02"	"clus8"
"333"	"C1.1772099.012.H05"	"clus9"
"334"	"C1.1772089.205.G09"	"clus4"
"335"	"C1.1772089.202.D06"	"clus4"
"336"	"C1.1772092.002.F01"	"clus4"
"337"	"C1.1772089.205.F06"	"clus3"
"338"	"C1.1772089.205.F02"	"clus3"
"339"	"C1.1772089.202.B06"	"clus3"
"340"	"C1.1772117.055.D11"	"clus2"
